#cycle; #nombre morts; #taux global occupation; #distance global terroriste; #duree evenement
0; 0; 34.333333333333336; 0.0; 0.0
1; 0; 34.333333333333336; 0.0; 3.164
2; 0; 34.333333333333336; 24.99834462724769; 3.46
3; 2; 33.666666666666664; 23.78825205781513; 3.67
4; 3; 33.333333333333336; 22.794221600950006; 5.299
5; 3; 33.333333333333336; 21.80095767223254; 5.742
6; 4; 33.0; 21.480105237769738; 6.04
7; 4; 33.0; 20.994502112743188; 6.652
8; 4; 33.0; 20.828994469392452; 7.618
9; 4; 33.0; 23.182779444943787; 7.97
10; 6; 32.333333333333336; 22.548986915272476; 8.216
11; 7; 32.0; 22.2156779204244; 9.447
12; 7; 32.0; 23.69278230117524; 10.192
13; 8; 31.666666666666668; 24.983351289009835; 10.411
14; 8; 31.666666666666668; 24.33612840441188; 10.621
15; 8; 31.666666666666668; 23.98224631909436; 12.743
16; 8; 31.666666666666668; 25.44915842712273; 13.212
17; 9; 31.333333333333332; 25.566042753125; 13.837
18; 10; 31.0; 25.368367416500828; 14.648
19; 10; 31.0; 28.312574988813903; 15.801
20; 10; 31.0; 30.95604185197968; 16.178
21; 10; 31.0; 30.330935392744323; 16.655
22; 10; 31.0; 29.932757001242734; 17.464
23; 10; 31.0; 31.86608219125186; 18.125
24; 10; 31.0; 31.174125626047527; 18.523
25; 11; 30.666666666666668; 30.325862717203496; 19.026
26; 11; 30.666666666666668; 29.441060479020802; 19.398
27; 11; 30.666666666666668; 28.594470917185408; 19.95
28; 11; 30.666666666666668; 27.760113165954568; 20.33
29; 11; 30.666666666666668; 27.533477484478507; 20.888
30; 11; 30.666666666666668; 28.017359619759755; 21.41
31; 11; 30.666666666666668; 28.727178389941844; 21.999
32; 12; 30.333333333333332; 29.308874214784677; 22.427
33; 12; 30.333333333333332; 29.935977847691134; 23.459
34; 12; 30.333333333333332; 30.604864100228095; 23.997
35; 12; 30.333333333333332; 30.562981088356892; 24.668
36; 12; 30.333333333333332; 30.14284651852159; 25.22
37; 12; 30.333333333333332; 30.26838210962627; 26.052
38; 12; 30.333333333333332; 30.613500393145895; 26.657
39; 14; 29.666666666666668; 30.741954446522602; 27.047
40; 14; 29.666666666666668; 30.848319976166692; 27.428
41; 14; 29.666666666666668; 30.93675032345962; 27.816
42; 14; 29.666666666666668; 31.057043702044766; 28.222
43; 14; 29.666666666666668; 30.217111212541965; 28.652
44; 14; 29.666666666666668; 30.34043172511701; 29.532
45; 14; 29.666666666666668; 34.72082526923732; 30.0
46; 16; 29.0; 34.84692483775361; 30.547
47; 16; 29.0; 34.9560217376773; 30.967
48; 16; 29.0; 35.05475992128092; 31.355
49; 16; 29.0; 35.17932089602272; 31.824
50; 16; 29.0; 34.62774743284214; 32.233
51; 16; 29.0; 34.751990187674245; 33.311
52; 16; 29.0; 36.54026655986704; 33.723
53; 17; 28.666666666666668; 36.32561586725986; 34.079
54; 17; 28.666666666666668; 36.127419896225774; 34.449
55; 17; 28.666666666666668; 35.93142644381201; 34.787
56; 17; 28.666666666666668; 35.79217866564302; 35.151
57; 17; 28.666666666666668; 35.17995983123439; 35.521
58; 17; 28.666666666666668; 35.10464038653524; 36.05
59; 17; 28.666666666666668; 35.22525794008241; 36.427
60; 19; 28.0; 35.52156514385914; 36.769
61; 19; 28.0; 35.841504737085124; 37.105
62; 19; 28.0; 36.1831737402864; 37.438
63; 19; 28.0; 36.54475858054485; 37.779
64; 19; 28.0; 36.17913973578779; 38.157
65; 19; 28.0; 36.33862496458682; 39.361
66; 19; 28.0; 34.391185205236575; 39.762
67; 21; 27.333333333333332; 34.55102781749245; 40.133
68; 21; 27.333333333333332; 34.711039398271275; 40.499
69; 21; 27.333333333333332; 34.87121387042339; 40.867
70; 21; 27.333333333333332; 35.031545439019546; 41.231
71; 21; 27.333333333333332; 34.523275363263075; 41.623
72; 21; 27.333333333333332; 34.683904790584755; 42.78
73; 21; 27.333333333333332; 33.57314889045187; 43.19
74; 23; 26.666666666666668; 33.73405600609539; 43.512
75; 23; 26.666666666666668; 34.01493538446516; 43.886
76; 23; 26.666666666666668; 34.42582340067913; 44.207
77; 23; 26.666666666666668; 34.84931271353566; 44.507
78; 23; 26.666666666666668; 35.301674983195305; 44.84
79; 23; 26.666666666666668; 35.60569614319422; 45.648
80; 23; 26.666666666666668; 41.14245424753042; 45.998
81; 25; 26.0; 41.44959961384928; 46.285
82; 25; 26.0; 41.38180744665235; 46.623
83; 25; 26.0; 41.48496450824964; 46.96
84; 25; 26.0; 41.7814988641199; 47.301
85; 25; 26.0; 41.06646223302398; 47.649
86; 25; 26.0; 40.723613758528785; 48.352
87; 25; 26.0; 39.08093735272579; 49.058
88; 27; 25.333333333333332; 22.48237007325824; 49.405
89; 28; 25.0; 22.48237007325824; 49.721
90; 28; 25.0; 22.48237007325824; 50.04
91; 28; 25.0; 22.48237007325824; 50.358
92; 28; 25.0; 21.701357271385195; 50.698
93; 28; 25.0; 21.868023938051863; 51.29
94; 28; 25.0; 22.13421738054825; 51.848
95; 30; 24.333333333333332; 25.470738653448944; 52.187
96; 30; 24.333333333333332; 25.304505284894702; 52.559
97; 31; 24.0; 25.304505284894702; 52.832
